employee_id,department,workload,work_life_balance,team_conflict,management_support,work_environment,stress_level
EMP0054,Finance,2,2,5,10,6,59
EMP0055,Operations,6,5,3,3,4,71
EMP0056,Operations,1,5,6,4,6,18
EMP0057,Finance,9,10,8,5,7,35
EMP0058,IT,10,10,5,9,10,5
EMP0059,IT,9,5,5,4,2,59
EMP0060,Operations,10,10,5,7,8,3
EMP0061,Marketing,10,8,1,7,7,98
EMP0062,IT,10,6,8,9,9,86
EMP0063,HR,4,4,5,4,5,39
EMP0064,Finance,10,9,6,1,5,71
EMP0065,Finance,1,7,3,4,7,94
EMP0066,Marketing,3,3,7,5,8,22
EMP0067,Finance,3,8,9,10,4,48
EMP0068,Operations,1,1,1,5,2,2
EMP0069,HR,7,7,3,10,6,5
EMP0070,Marketing,8,9,6,8,4,79
EMP0071,HR,7,3,7,10,2,38
EMP0072,HR,2,4,8,4,5,10
EMP0073,Operations,8,7,9,1,1,56
EMP0074,Marketing,5,3,2,4,6,81
EMP0075,Marketing,7,5,5,9,2,61
EMP0076,IT,8,9,6,5,2,70
EMP0077,Operations,7,4,7,7,1,48
EMP0078,Operations,7,10,10,10,4,69
EMP0079,Finance,6,7,10,2,6,21
EMP0080,IT,6,1,2,9,4,6
EMP0081,Finance,7,10,1,2,10,67
EMP0082,HR,3,5,4,9,6,63
EMP0083,Marketing,10,10,6,5,5,96
EMP0084,IT,5,1,5,7,7,2
EMP0085,IT,4,4,6,7,6,60
EMP0086,Finance,3,4,6,7,7,40
EMP0087,Operations,1,2,3,1,7,29
EMP0088,Operations,4,6,10,8,6,38
EMP0089,HR,7,1,2,10,9,13
EMP0090,Finance,2,2,7,4,10,79
EMP0091,Finance,8,4,4,3,2,40
EMP0092,Marketing,6,2,8,10,1,38
EMP0093,Marketing,1,7,10,3,7,60
EMP0094,Finance,10,1,2,4,4,37
EMP0095,Marketing,4,9,4,10,6,66
EMP0096,IT,10,1,6,10,8,66
EMP0097,HR,2,10,6,9,2,22
EMP0098,IT,9,1,4,9,1,40
EMP0099,Finance,1,10,9,9,5,20
EMP0100,HR,9,6,1,7,8,22
EMP0101,HR,8,8,9,2,9,22
EMP0102,Operations,6,9,9,3,1,1
EMP0103,IT,2,5,6,5,7,61
EMP0104,HR,8,5,3,10,2,96
EMP0105,IT,7,6,1,2,8,43
EMP0106,HR,2,5,7,9,10,82
EMP0107,HR,10,3,1,3,5,12
EMP0108,HR,6,1,1,6,2,83
EMP0109,IT,9,1,6,1,4,36
EMP0110,Operations,9,1,8,2,7,10
EMP0111,Operations,8,6,6,7,2,65
EMP0112,HR,1,6,10,6,6,71
EMP0113,Marketing,2,10,2,7,3,6
EMP0114,Finance,10,10,7,5,8,85
EMP0115,HR,6,5,8,2,4,17
EMP0116,Finance,4,7,9,10,5,31
EMP0117,Operations,6,3,2,1,2,87
EMP0118,IT,5,4,4,3,6,5
EMP0119,IT,5,4,5,3,1,14
EMP0120,Finance,3,6,1,2,8,74
EMP0121,Marketing,3,9,3,10,3,2
EMP0122,HR,5,2,7,3,10,47
EMP0123,IT,6,1,7,6,3,40
EMP0124,Marketing,5,6,5,2,2,44
EMP0125,IT,1,1,1,3,5,69
EMP0126,Finance,10,8,2,3,10,88
EMP0127,IT,6,7,9,8,6,64
EMP0128,IT,1,1,5,5,1,58
EMP0129,HR,7,5,5,9,3,47
EMP0130,IT,4,5,9,1,5,84
EMP0131,Marketing,2,5,8,5,2,5
EMP0132,IT,2,2,1,1,4,41
EMP0133,Finance,6,1,1,2,3,89
EMP0134,HR,7,10,1,1,6,21
EMP0135,Marketing,3,7,4,6,5,74
EMP0136,Marketing,7,1,9,3,7,88
EMP0137,Operations,5,2,1,8,6,49
EMP0138,IT,9,6,4,2,1,84
EMP0139,IT,4,2,1,5,2,9
EMP0140,HR,10,3,4,1,6,63
EMP0141,Operations,1,2,3,7,10,6
EMP0142,Marketing,1,7,3,6,6,84
EMP0143,Operations,7,7,6,1,5,31
EMP0144,Marketing,4,5,5,6,5,12
EMP0145,Finance,3,8,2,7,9,84
EMP0146,Marketing,6,10,10,1,5,43
EMP0147,Finance,4,3,5,1,8,35
EMP0148,Marketing,9,10,10,2,7,32
EMP0149,Finance,1,9,6,10,6,50
EMP0150,Marketing,1,10,5,7,10,55
EMP0151,Finance,10,9,4,1,4,42
EMP0152,HR,2,5,10,4,6,89
EMP0153,IT,5,6,10,5,3,53
EMP0154,Finance,4,3,9,10,7,9
EMP0155,HR,10,10,1,8,3,5
EMP0156,IT,3,10,5,8,5,32
EMP0157,Finance,3,10,6,3,6,12
EMP0158,Finance,5,6,10,5,6,36
EMP0159,Finance,5,2,3,8,4,49
EMP0160,Finance,4,4,1,4,9,12
EMP0161,HR,4,10,8,10,8,59
EMP0162,Operations,4,1,8,7,5,46
EMP0163,IT,8,2,4,8,6,30
EMP0164,Marketing,9,4,1,1,6,78
EMP0165,Finance,5,2,5,3,9,20
EMP0166,Operations,6,1,8,7,4,1
EMP0167,IT,2,10,9,8,1,52
EMP0168,Finance,9,3,4,8,8,75
EMP0169,HR,7,3,4,8,6,86
EMP0170,HR,7,7,6,9,3,96
EMP0171,IT,8,6,3,10,4,8
EMP0172,HR,1,8,7,3,9,94
EMP0173,HR,9,7,2,6,1,63
EMP0174,Operations,5,5,2,3,3,30
EMP0175,HR,4,7,5,9,1,38
EMP0176,Marketing,9,6,5,9,1,100
EMP0177,IT,9,5,4,2,4,26
EMP0178,Operations,1,1,4,5,2,77
EMP0179,Marketing,2,2,6,9,1,68
EMP0180,Finance,4,9,4,9,4,36
EMP0181,Finance,9,9,3,8,1,19
EMP0182,HR,3,2,5,3,6,68
EMP0183,HR,7,5,7,3,9,37
EMP0184,HR,6,9,2,5,3,52
EMP0185,Finance,6,6,5,1,2,100
EMP0186,HR,6,7,7,7,4,46
EMP0187,IT,3,3,8,3,5,63
EMP0188,IT,6,7,3,2,1,22
EMP0189,Operations,10,2,8,7,10,87
EMP0190,Operations,10,10,6,4,10,84
EMP0191,Marketing,9,9,3,5,1,63
EMP0192,IT,6,10,2,1,6,42
EMP0193,HR,7,1,3,5,4,81
EMP0194,Marketing,1,10,1,6,8,74
EMP0195,Finance,8,6,3,6,9,27
EMP0196,Marketing,8,10,4,5,9,79
EMP0197,Marketing,3,9,8,9,2,37
EMP0198,Marketing,6,8,1,3,9,11
EMP0199,Marketing,7,10,10,8,2,72
EMP0200,Marketing,4,7,2,1,1,31
